iter	RMSE
0	74533.23084
1	72629.81271
2	70694.30029
3	68867.09162
4	67009.0439
5	65301.88358
6	63736.23431
7	62227.44257
8	60728.01361
9	59256.35059
10	58042.95474
11	56911.05603
12	55621.22048
13	54352.39873
14	53163.47806
15	52076.37014
16	51078.34138
17	50051.07772
18	49105.78386
19	48173.13166
20	47287.40524
21	46322.13406
22	45546.20597
23	44801.13373
24	44000.66087
25	43179.47522
26	42502.3457
27	41727.20277
28	41052.9273
29	40340.30701
30	39764.07358
31	39223.7724
32	38699.75667
33	38097.74864
34	37488.9654
35	37036.51084
36	36484.17895
37	35946.61913
38	35469.41964
39	35054.82923
40	34562.35773
41	34124.19214
42	33708.21577
43	33304.89043
44	32872.74646
45	32555.48861
46	32191.32224
47	31838.62571
48	31495.63231
49	31174.55384
50	30786.60175
51	30478.6104
52	30180.10929
53	29854.05127
54	29536.59113
55	29220.56045
56	28984.65836
57	28721.78522
58	28474.36463
59	28252.8196
60	28072.18145
61	27849.27792
62	27597.12893
63	27412.50152
64	27217.46348
65	27023.35647
66	26771.89106
67	26567.98107
68	26380.113
69	26220.03083
70	26170.02103
71	25960.16753
72	25776.38095
73	25621.61979
74	25588.34788
75	25396.82234
76	25214.08794
77	25045.94768
78	24879.00681
79	24843.07104
80	24693.27099
81	24513.11264
82	24411.04343
83	24376.40636
84	24338.12541
85	24204.20326
86	24042.79903
87	23988.98744
88	23851.23837
89	23804.56029
90	23747.85601
91	23709.7546
92	23562.91956
93	23464.36067
94	23443.76885
95	23415.09698
96	23270.5978
97	23139.17998
98	23002.30238
99	22931.16154
100	22819.78207
101	22702.75819
102	22578.3228
103	22478.09761
104	22370.54914
105	22306.67158
106	22213.36791
107	22173.58038
108	22047.25187
109	21924.81796
110	21901.10737
111	21817.17396
112	21772.99654
113	21681.01418
114	21595.47389
115	21497.43768
116	21443.60145
117	21348.26005
118	21236.94225
119	21162.93537
120	21075.84518
121	20977.00988
122	20904.04284
123	20886.88232
124	20810.47743
125	20715.7885
126	20638.44147
127	20556.83345
128	20472.47884
129	20382.1551
130	20304.73096
131	20204.9486
132	20146.51279
133	20092.00538
134	20005.44948
135	19961.22138
136	19887.96092
137	19861.44944
138	19786.47898
139	19701.53183
140	19646.06876
141	19589.46703
142	19531.16148
143	19427.92167
144	19361.72304
145	19285.40837
146	19255.35334
147	19181.49602
148	19116.33738
149	19060.24064
150	19000.02308
151	18926.5575
152	18906.73511
153	18873.65461
154	18827.05171
155	18741.68444
156	18722.45196
157	18679.14667
158	18606.49724
159	18589.20071
160	18564.26001
161	18542.67514
162	18486.38719
163	18459.46748
164	18411.38647
165	18366.02656
166	18316.18902
167	18302.02496
168	18254.57572
169	18203.94487
170	18151.24966
171	18073.72552
172	18025.18874
173	18009.04407
174	17952.73054
175	17938.61142
176	17872.87754
177	17853.71154
178	17835.14424
179	17815.28733
180	17759.1397
181	17738.54979
182	17719.83152
183	17661.00914
184	17648.37481
185	17636.61653
186	17623.24845
187	17604.6694
188	17578.39145
189	17509.34556
190	17441.3395
