iter	Passed	Remaining
0	95	94912
1	133	66836
2	184	61295
3	244	60830
4	302	60139
5	349	57910
6	399	56676
7	435	54001
8	485	53489
9	517	51232
10	536	48232
11	556	45851
12	576	43732
13	596	42029
14	614	40364
15	631	38831
16	649	37578
17	667	36420
18	691	35710
19	712	34891
20	729	34027
21	747	33223
22	764	32481
23	785	31930
24	804	31381
25	822	30822
26	839	30262
27	862	29949
28	880	29488
29	899	29098
30	917	28680
31	935	28287
32	955	28006
33	974	27675
34	996	27464
35	1019	27289
36	1037	27004
37	1054	26696
38	1074	26487
39	1093	26255
40	1113	26034
41	1131	25813
42	1149	25582
43	1167	25356
44	1185	25152
45	1204	24977
46	1226	24875
47	1246	24729
48	1265	24559
49	1293	24571
50	1310	24392
51	1328	24227
52	1347	24075
53	1393	24409
54	1426	24506
55	1451	24475
56	1471	24344
57	1490	24204
58	1528	24370
59	1558	24423
60	1611	24808
61	1676	25359
62	1716	25531
63	1735	25381
64	1753	25224
65	1775	25122
66	1792	24964
67	1810	24816
68	1829	24683
69	1846	24536
70	1866	24422
71	1885	24304
72	1906	24206
73	1924	24077
74	1961	24185
75	2023	24595
76	2049	24572
77	2067	24441
78	2091	24379
79	2108	24249
80	2129	24157
81	2147	24036
82	2165	23921
83	2184	23825
84	2204	23731
85	2222	23618
86	2239	23503
87	2257	23398
88	2280	23346
89	2306	23321
90	2324	23221
91	2342	23116
92	2361	23028
93	2378	22926
94	2400	22870
95	2419	22781
96	2437	22686
97	2455	22597
98	2472	22501
99	2483	22354
100	2504	22292
101	2532	22293
102	2568	22369
103	2610	22492
104	2644	22538
105	2679	22595
106	2749	22950
107	2785	23009
108	2811	22979
109	2830	22900
110	2850	22829
111	2879	22832
112	2908	22827
113	2934	22805
114	2957	22761
115	2990	22787
116	3014	22747
117	3037	22700
118	3055	22623
119	3074	22545
120	3091	22461
121	3109	22375
122	3129	22313
123	3147	22234
124	3166	22165
125	3184	22092
126	3202	22016
127	3221	21944
128	3243	21897
129	3262	21831
130	3284	21789
131	3303	21720
132	3331	21720
133	3354	21681
134	3374	21624
135	3392	21553
136	3411	21489
137	3429	21423
138	3448	21363
139	3467	21298
140	3484	21229
141	3503	21171
142	3528	21146
143	3565	21197
144	3599	21223
145	3632	21246
146	3652	21193
147	3671	21135
148	3689	21070
149	3707	21011
150	3733	20994
151	3755	20949
152	3774	20897
153	3793	20838
154	3812	20785
155	3830	20722
156	3849	20669
157	3870	20628
158	3889	20574
159	3908	20518
160	3928	20472
161	3946	20414
162	3970	20389
163	3990	20339
164	4016	20328
165	4035	20273
166	4056	20234
167	4075	20185
168	4092	20124
169	4110	20067
170	4147	20104
171	4209	20263
172	4227	20206
173	4245	20154
174	4264	20105
175	4295	20110
176	4313	20054
177	4329	19995
178	4346	19935
179	4363	19878
180	4384	19839
181	4404	19797
182	4421	19739
183	4438	19683
184	4455	19627
185	4471	19570
186	4481	19485
187	4539	19605
188	4567	19597
189	4605	19632
190	4630	19614
191	4655	19593
192	4682	19578
193	4715	19589
194	4748	19601
195	4776	19594
196	4803	19581
197	4831	19571
198	4860	19564
199	4888	19553
200	4912	19529
201	4940	19519
202	4971	19520
203	4996	19495
204	5027	19497
205	5052	19475
206	5081	19466
207	5127	19525
208	5256	19893
209	5544	20857
210	5690	21279
211	5763	21421
212	5847	21607
213	5915	21726
214	5960	21764
215	5993	21752
216	6026	21745
217	6056	21726
218	6077	21674
219	6098	21621
220	6122	21581
221	6144	21533
222	6172	21506
223	6204	21493
224	6239	21490
